2012-04-10 11:19:18,321:twitter_crawl_friends_and_followers:31:<module>:INFO: Started crawler
2012-04-10 11:19:18,321:twitter_crawl_friends_and_followers:100:<module>:INFO: Crawling for: ['waltmossberg']
2012-04-10 11:19:18,322:twitter_crawl_friends_and_followers:56:crawl:INFO: Getting user info
2012-04-10 11:19:18,322:twitter__util:110:getUserInfo:DEBUG: entering
2012-04-10 11:19:18,322:twitter__util:119:getUserInfo:INFO: Retrieving user info for 1 screen names and 0 user ids
2012-04-10 11:19:18,322:twitter__util:123:getUserInfo:DEBUG: screen_name while loop: Found 1 screen names
2012-04-10 11:19:18,322:twitter__util:126:getUserInfo:DEBUG: waltmossberg
2012-04-10 11:19:18,323:twitter__util:18:makeTwitterRequest:DEBUG: entering
2012-04-10 11:19:18,780:twitter__util:144:getUserInfo:INFO: Completed user info search for 1 screen names
2012-04-10 11:19:18,780:twitter__util:80:_getFriendsOrFollowersUsingFunc:DEBUG: entering
2012-04-10 11:19:18,780:twitter__util:86:_getFriendsOrFollowersUsingFunc:DEBUG: while loop: cursor = -1
2012-04-10 11:19:18,781:twitter__util:18:makeTwitterRequest:DEBUG: entering
2012-04-10 11:19:19,089:twitter__util:89:_getFriendsOrFollowersUsingFunc:DEBUG: got 5 responses
2012-04-10 11:19:19,090:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 296668304
2012-04-10 11:19:19,090:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 19996524
2012-04-10 11:19:19,090:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 90331848
2012-04-10 11:19:19,091:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 9334052
2012-04-10 11:19:19,091:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 17979066
2012-04-10 11:19:19,091:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 259395895
2012-04-10 11:19:19,092:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 1059801
2012-04-10 11:19:19,092:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 12553672
2012-04-10 11:19:19,093:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 111441302
2012-04-10 11:19:19,093:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 451586190
2012-04-10 11:19:19,093:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 36047098
2012-04-10 11:19:19,094:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 12
2012-04-10 11:19:19,094:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 30631523
2012-04-10 11:19:19,094:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 756129
2012-04-10 11:19:19,095:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 10078
2012-04-10 11:19:19,095:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 40086005
2012-04-10 11:19:19,096:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 17029640
2012-04-10 11:19:19,096:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 418666234
2012-04-10 11:19:19,096:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 151191872
2012-04-10 11:19:19,097:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 12625872
2012-04-10 11:19:19,097:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 8401202
2012-04-10 11:19:19,097:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 161801527
2012-04-10 11:19:19,098:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 318393568
2012-04-10 11:19:19,098:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 363903426
2012-04-10 11:19:19,098:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 323468251
2012-04-10 11:19:19,099:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 260907612
2012-04-10 11:19:19,099:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 14085662
2012-04-10 11:19:19,100:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 770729
2012-04-10 11:19:19,100:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 2195241
2012-04-10 11:19:19,100:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 296667709
2012-04-10 11:19:19,101:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 296675370
2012-04-10 11:19:19,101:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 275686563
2012-04-10 11:19:19,101:twitter__util:91:_getFriendsOrFollowersUsingFunc:DEBUG: response id for loop, _id = 305743876
